00002722241110031 038285   1169983202211252 748882.08 24  31203.42F  31203.42 1010       00000000000
00002722301110031 033455   1170049202211282 134719.44 24   5613.31F   5613.31 1010       00000000000
00002724761110031 037144   1171038202212152 651804.72 24  27158.53F  27158.53 1010       00000000000
00002724991110031 040511   1171176202212162 585930.72 24  24413.78F  24413.78 1010       00000000000
00002728841110031 045132   1173081202301122 521418.96 24  21725.79F  21725.79  910       00000000000
00002728931110031 032158   11730822023011221538703.72 36  42741.77F  42741.77  910       00000000000
00002729641110031 046574   1172998202301112 141158.40 24   5881.60F   5881.60  910       00000000000
00002732841110031 039782   1174355202302012 640165.44 24  26673.56F  26673.56  810       00000000000
00002734871110031 036142   1174599202302022 208518.00 24   8688.25F   8688.25  810       00000000000
00002736101110031 044033   1174695202302072 252201.96 36   7005.61F   7005.61  810       00000000000
00002737141110031 045689   1175156202302132 756806.64 24  31533.61F  31533.61  810       00000000000
00002737241110031 043358   1174987202302102 415731.84 48   8661.08F   8661.08  810       00000000000
00002739661110031 045596   1175271202302142 391033.20 24  16293.05F  16293.05  810       00000000000
00002740191110031 045899   1175380202302152 202079.28 24   8419.97F   8419.97  810       00000000000
00002742791110031 046725   1176306202303022 203317.44 24   8471.56F   8471.56  710       00000000000
00002744191110031 034526   1175893202302242 479938.32 24  19997.43F  19997.43  710       00000000000
00002744611110031 047524   1176210202302282 260771.52 24  10865.48F  10865.48  710       00000000000
00002747231110031 033473   1177086202303152 371469.36 24  15477.89F  15477.89  710       00000000000
00002749571110031 032771   1177038202303152 521542.80 24  21730.95F  21730.95  710       00000000000
00002752191110031 038285   1177948202303282 102050.88 24   4252.12F   4252.12  610       00000000000
00002752201110031 038285   1177948202303282 269665.92 24  11236.08F  11236.08  610       00000000000
00002756531110031 038555   11789042023041321436017.44 24  59834.06F  59834.06  610       00000000000
00002758521110031 043007   1179215202304172 303636.48 24  12651.52F  12651.52  610       00000000000
00002761161110031 043358   1179886202304252 253459.44 24  10560.81F  10560.81  510       00000000000
00002764021110031 033536   1179827202304242 541914.00 24  22579.75F  22579.75  510       00000000000
00002766311110031 043815   1180577202305082 450616.56 24  18775.69F  18775.69  510       00000000000
00002770001110031 047563   1181628202305232 227078.16 24   9461.59F   9461.59  410       00000000000
00002773001110031 047524   1182027202306022 548970.24 24  22873.76F  22873.76  410       00000000000
00002773731110031 036027   1182028202306022 895829.28 24  37326.22F  37326.22  410       00000000000
00002776061110031 039747   1182376202306092 817362.48 24  34056.77F  34056.77  410       00000000000
00002777811110031 038479   11824812023061321445691.12 24  60237.13F  60237.13  410       00000000000
00002777871110031 041216   1182452202306122 625950.96 24  26081.29F  26081.29  410       00000000000
00002778301110031 033904   1182594202306152 600687.12 24  25028.63F  25028.63  410       00000000000
00002779561110031 037774   1182808202306222 564128.64 24  23505.36F  23505.36  310       00000000000
00002780021110031 046574   1182781202306222 252639.36 24  10526.64F  10526.64  310       00000000000
00002780501110031 033455   1183164202306302   1874.40 24     78.10F     78.10  310       00000000000
00002780511110031 033455   1183164202306302 250170.48 24  10423.77F  10423.77  310       00000000000
00002781071110031 046678   1182957202306272 938926.56 24  39121.94F  39121.94  310       00000000000
00002781401110031 036400   11830792023062921007882.16 24  41995.09F  41995.09  310       00000000000
00002789321110031 035748   1185920202308232 531860.40 24  22160.85F  22160.85  110       00000000000
00002790001110031 032673   1185744202308182 743035.44 24  30959.81F  30959.81  210       00000000000
00002791291110031 039760   1185875202308232 302604.48 24  12608.52F  12608.52  110       00000000000
00002791841110031 043358   1185705202308182 490921.92 24  20455.08F  20455.08  210       00000000000
00002792061110031 033455   1186212202308282 359236.08 24  14968.17F  14968.17  110       00000000000
00002793631110031 033348   1186344202308302 745423.44 24  31059.31F  31059.31  110       00000000000
00002797001110031 045786   1187102202309142 362227.44 24  15092.81F  15092.81  110       00000000000
